particle_id,initial_pos_x,initial_pos_y,initial_pos_z,initial_vel_x,initial_vel_y,initial_vel_z,particle_size_m,final_fate
1,0.3043752616799811,-0.6338377957028483,0.053271660553294686,0.13552040099061058,0.03704258988339476,0.08951676499767841,5.777573466336687,0
2,0.15924635672166865,0.34043492328669833,-0.19497584067286977,-0.04258570858585023,-0.028528540773972516,0.011150359891651945,2.5681747500199688,0
3,-1.1769935330566286,-0.0805335540197405,0.22263451816515445,-0.0015352172703441413,0.03918687476977506,-0.0004539825890707838,3.043067874318563,0
4,0.001022873519570755,1.4276143765749554,0.3441536607057163,-0.058542765346264736,-0.04602000318762159,0.09135595154956891,7.773826771536828,1
5,0.4925952103236071,-0.9668961240830684,0.4614703406029136,-0.12424531503819525,-0.15128571371775004,0.06545484399188589,7.189134295758751,1
6,0.5881153030619388,-1.2764261805464003,-0.3568443532646579,0.032012740270674245,-0.03956833687497824,-0.09259036813664699,5.411369569025485,2
7,0.23856846496309636,-0.290240971896901,-0.260651646197648,-0.19439927678844282,-0.05449461722685234,-0.037559601921029875,7.722507576753711,0
8,-1.074834837180389,0.28037390080089875,0.2443879839498636,-0.1684637198923321,0.11649107768682931,-0.030325101089369852,5.030474358194326,1
9,-0.45736094579473097,-1.2776596527696331,-0.2670153117298135,0.05944696655452847,-0.08627964009899661,0.038247620768210366,2.0137504412831206,1
10,-1.4737606415231954,-0.9890870974125042,-0.0946545897632538,-0.13588284981861953,0.07756705860792934,0.08767903377981337,0.9187110209854942,1
11,0.8304239856538187,0.6249420533483017,-0.4229316674638126,0.16774120067455095,0.13266515461164596,-0.04917637133601243,4.388031095710104,1
12,-0.15827455296075676,0.3917893487835862,-0.4616256959939965,-0.0048527906157364575,0.03514371684325743,0.061183446120546825,8.444544904683628,0
13,0.2911301138375968,-0.05937572255163959,-0.4586698820117895,0.04064030836063015,-0.19243037179624023,0.05474376263077249,6.0747884765942155,2
14,1.3298388411812372,1.4459178531206742,-0.2484570293859596,0.001508427408299401,-0.07174530750471125,0.028616886395810365,5.586395387123355,1
15,-1.1842789162330318,-1.090290141508874,0.32247538307781964,-0.11899757077008838,-0.1357953651130766,-0.046114183551897094,1.946479541148772,2
16,-0.5241844560150127,-0.21593355569538097,0.23678962710053775,-0.0665186469593306,-0.18483886401671748,-0.05128950411974893,6.008251647815928,2
17,-0.348026711670951,0.3662507199876188,0.314384631705211,-0.10104232860545542,-0.05208404218319038,0.07969431892198081,8.958116170368429,0
18,1.3512044520723734,1.3217630100750557,0.13933632089326908,0.18641667364512998,-0.08967179873577323,0.0647736804609341,6.228658018167353,0
19,-0.8288279369063732,-0.5379379155087184,-0.1372758332912497,0.05565066450717998,0.19623767816307242,0.026650170627594033,4.463445292774143,2
20,1.3718144663418075,0.027203691320601298,-0.17292520166390735,0.19323693912058693,0.1625576409921839,0.02616699480518203,9.959278898164603,0
21,-1.0695058752975872,0.5922057379901262,0.22360680880166772,0.05616732472528002,0.03241870723742596,0.009888992013472486,1.666227852821309,2
22,-0.5376030322591585,-0.11596187516587575,0.17423081251236028,0.148941015194489,-0.16325896208194157,-0.02329537626832985,5.238103744259902,0
23,1.2592512008818608,-1.1561996087089104,0.018466728347995898,0.10817082117027804,0.18832964688791426,0.08732860352774,7.855659108909356,0
24,0.02431381162663815,-0.10306062617585043,-0.39857875952087884,-0.08448046496846971,-0.04778944043626826,0.0866247276475863,8.251120010139982,2
25,1.2744328169172898,-1.252198977552366,-0.4931193513211738,-0.025441437657779842,-0.049481183788137706,-0.04359662650466392,9.587579447842474,0
26,0.12816623444495345,1.368237357440571,0.3990002419917422,-0.07336074880224949,-0.024993763084076637,-0.05574772536021908,7.4180818238133535,0
27,-0.08828118017494124,0.007032532306904482,0.14026162186187408,0.011233949630816392,0.11624276067915806,0.03807852041451659,2.264654373508576,0
28,-0.4822893046852528,0.16337582778264026,0.4146785329985676,-0.025996494154223282,-0.1898472234083992,-0.05268292656518008,6.478787934545172,1
29,1.3337592085954286,-1.2312997289965746,0.19875627541783036,-0.18781294228027826,0.11160399084756872,-0.06484144402890524,9.973183481872482,1
30,-0.4501481484575396,0.21262486609767084,0.24486338656591777,-0.09387287152287618,0.016921100106255083,0.045949713294365535,3.3823669247320542,1
31,0.13844460762238286,-0.5459031200805478,0.022748630765595634,-0.09363895153220683,-0.15937711468599286,0.0859756332683835,9.374482884677377,2
32,1.3264008575021817,-0.9748710758632155,0.34307256305034617,0.12266860937945989,0.0690106761917787,-0.06349610708783446,0.9854327419865949,2
33,-0.4983546437429942,-1.209818702874291,0.16732177162032202,-0.13203160938464464,0.18723189588803962,-0.08028563443314328,9.254911752070807,0
34,-0.3165877205688057,-1.2978858438695413,0.06967242440322918,0.132576755888327,0.03091469541591957,0.0393482453922491,1.6294812287546296,2
35,-0.1683579455271258,1.4587189581178812,0.3760517650799734,-0.08304959236473973,0.10979214333315673,-0.0033262265305991773,5.891276507447323,0
36,-0.5070141823350272,-0.5222341616069537,-0.05381439512229669,0.09297525793614209,0.18840507947641777,0.01628048497363277,5.9629258999878605,2
37,-0.1745614454472031,-0.13250520534714516,-0.29564100951121985,0.08283646034722913,-0.1949280659228391,0.03333634347556497,7.394962909447192,2
38,-0.9225933749982451,-0.813723328329285,-0.2716232191322241,-0.08697608698216058,0.041130813602316685,0.04590864441330736,1.7171569108619353,2
39,-0.0042157958698876286,-1.202329243774748,0.14614964959568333,-0.08564919924182841,0.17032100658503002,-0.015778996723624622,2.2998075113667658,1
40,-1.3894262307172083,-0.8671996218539126,0.29178904057469035,0.038534419532278846,-0.08125303659307224,-0.0015210736507046824,1.8068838820205562,2
41,0.5206145908229391,0.8343350728893477,0.33226915784485966,-0.04226593648466531,-0.10098434214211527,0.0847658497127746,0.9578528237331501,0
42,0.6538758083515472,0.5917697253197036,-0.37267174091268374,-0.09330778665980151,-0.14045083623631874,-0.05440040103603965,8.599305801960329,2
43,-0.6744855173909879,-1.0388025984528937,0.2967786547940281,0.1924568033152061,-0.01368277115527522,-0.014795788883771685,1.3793820129785155,1
44,0.6966416158177142,0.3447605978049575,0.0467788713791768,-0.1991866777201695,0.19660692084332526,-0.09550958373526708,4.291891069086973,1
45,-0.5268004642062324,-0.051405656346469986,0.03599322051932774,0.07121351347242832,-0.1505446919347418,-0.052395900943410983,6.32685867448937,0
